encoder,family5_feature_source,family5_macro_f1,family5_kappa,family5_accuracy,regression_feature_source,ridge_r2_macro,ridge_delta_vs_4mer
kmer,kmer,0.6722387531318598,0.7024,0.8172484599589322,kmer,0.1742565631866455,0.0
dnabert2,dnabert2_meanD,0.7379664133596022,0.7226082061131901,0.8234086242299795,dnabert2_meanG,0.21035628020763397,0.036099717020988464
nt_v2,nt_v2_meanD,0.8275042891258189,0.8213690261827592,0.8870636550308009,nt_v2_meanmean,0.19315965473651886,0.018903091549873352
gena_lm,gena_lm_clsmean,0.4982302065432099,0.4775740578439964,0.6858316221765913,gena_lm,0.11730758100748062,-0.056948982179164886
hyena_dna,hyena_dna_meanG,0.7148833345239293,0.6944009608377641,0.8090349075975359,hyena_dna,0.18219588696956635,0.007939323782920837
shuffled,shuffled,0.20779616785408822,0.0482,0.4353182751540041,,,
