encoder,pooling,feature_source,test_macro_f1,delta_f1_vs_4mer,test_kappa,delta_kappa_vs_4mer,test_accuracy,delta_accuracy_vs_4mer,C,timestamp
kmer,baseline,kmer,0.6722387531318598,0.0,0.7024,0.0,0.8172484599589322,0.0,1000.0,2026-04-29T22:22:42+00:00
dnabert2,meanD,dnabert2_meanD,0.7379664133596022,0.06572766022774246,0.7226082061131901,0.020208206113190075,0.8234086242299795,0.006160164271047264,10.0,2026-04-30T07:26:56+00:00
nt_v2,meanD,nt_v2_meanD,0.8275042891258189,0.1552655359939591,0.8213690261827592,0.11896902618275917,0.8870636550308009,0.06981519507186862,1.0,2026-04-30T07:27:31+00:00
gena_lm,clsmean,gena_lm_clsmean,0.4982302065432099,-0.1740085465886499,0.4775740578439964,-0.2248259421560036,0.6858316221765913,-0.13141683778234092,1.0,2026-05-05T19:40:53+00:00
hyena_dna,meanG,hyena_dna_meanG,0.7148833345239293,0.0426445813920695,0.6944009608377641,-0.007999039162235877,0.8090349075975359,-0.008213552361396315,10.0,2026-05-05T20:16:09+00:00
shuffled,anti_baseline,shuffled,0.20779616785408822,-0.46444258527777155,0.0482,-0.6542,0.4353182751540041,-0.38193018480492813,100.0,2026-04-29T22:23:07+00:00
