group,n_genes,target_cds,target_utr,target_exon_noncoding,target_intron,neighbor_exon,neighbor_intron,intergenic,raw_target_cds,raw_target_utr,raw_target_exon,raw_target_intron,raw_neighbor_exon,raw_intergenic,n_neighbor_genes
overall,3244,0.008043024993658164,0.01134526714884691,0.003632601523565943,0.17147136175529584,0.09330044584513397,0.38584705012549203,0.3263602486080071,0.008043024993658164,0.012909311842536221,0.023020893666071015,0.17147136175529584,0.09798835914320188,0.3263602486080071,9.204993834771887
gpcr,591,0.0057373046875,0.00798388382706747,0.0006977905342287085,0.061975237076657676,0.09189039855371808,0.35689503798293853,0.47482034733788947,0.0057373046875,0.008199271144533452,0.014418979048796177,0.061975237076657676,0.09360723178129847,0.47482034733788947,10.70896785109983
immune,154,0.009514944893973214,0.008371460489380412,0.003415194424715909,0.13360087076822916,0.09857607094240395,0.4097319103422619,0.3367895481390354,0.009514944893973214,0.009867746592600108,0.021301599808069532,0.13360087076822916,0.10301793086064326,0.3367895481390354,10.428571428571429
ion,198,0.009015658086397833,0.010586850972287983,0.0034907947887073865,0.26103716506701125,0.08457666775995634,0.3687820691452283,0.26251079418041084,0.009015658086397833,0.012422375406079022,0.0230933038473932,0.26103716506701125,0.08960251214126945,0.26251079418041084,7.393939393939394
kinase,558,0.009134937500583373,0.011004567573574708,0.0060385882925673914,0.2850893355612259,0.07983368357449877,0.3475184469097689,0.261380440587781,0.009134937500583373,0.013350629179850845,0.02617809336672547,0.2850893355612259,0.08555636753460553,0.261380440587781,7.462365591397849
tf,1743,0.008234726947223417,0.012942984036219284,0.0038927800114147066,0.16539643740512644,0.0986146472749256,0.4077624818703759,0.30315594245471467,0.008234726947223417,0.01468911301362444,0.025070490994857402,0.16539643740512644,0.10396204890245506,0.30315594245471467,9.350545037292026
